BCT2020,Population
4019200,2359
4019400,3015
4019600,3122
4019800,3682
4019901,1088
4019902,317
4019903,0
4020200,1693
4020400,2278
4020500,1184
4020600,2046
4020800,3513
4021200,2812
4021400,6673
4021601,2678
4021602,1506
4021603,0
4021900,31
4022001,6551
4022002,6010
4022900,0
4023000,1880
4023200,5264
4023501,4403
4023502,3373
4023600,3266
4023800,4863
4024000,6252
4024300,6231
4024500,5544
4024600,1
4024700,1537
4024900,5724
4025100,5818
4025301,4510
4025302,3013
4025401,3899
4025402,6180
4025500,1603
4025700,1648
4025800,2289
4025900,3542
4026000,2915
4026100,7802
4026200,1652
4026300,6631
4026400,2736
4026501,3213
4026502,1622
4026600,1949
4026700,6196
4026901,5210
4026902,4244
4027000,1960
4027101,5454
4027102,3112
4027200,2065
4027301,3673
4027302,4765
4027400,1927
4027500,6773
4027600,1365
4027701,3448
4027702,5196
4027800,2529
4027900,6358
4028000,1901
4028100,5991
4028200,1801
4028300,7523
4028400,3766
4028500,4858
4028700,6544
4028801,2940
4028802,1952
4028803,8
4028900,5202
4029100,7341
4029300,1457
4029400,8072
4029500,3826
4029700,2258
4029900,5
4030600,5287
4030903,6748
4030904,3724
4030905,3424
4030906,4924
4031700,6781
4032000,5200
4032700,3932
4032800,2660
4032900,4251
4033000,7365
4033100,0
4033401,4196
4033403,4874
4033404,4723
4033405,3653
4033700,3765
4033900,3481
4034700,3688
4035100,4178
4035200,2550
4035300,2828
4035700,5593
4035800,4508
4036100,2706
4036300,2462
4036500,4142
4036600,3003
4036700,3099
4036800,2513
4037100,1917
4037300,2887
4037501,1479
4037502,2778
4037600,6373
4037700,4493
4037900,6504
4038100,6966
4038301,2
4038302,44
4038400,2720
4039400,3332
4039800,1688
4039901,2875
4039902,2285
4040000,1474
4040101,2847
4040102,4808
4040200,1474
4040301,2768
4040302,4760
4040400,4270
4040501,1183
4040502,2175
4040701,3162
4040702,5131
4040901,1951
4040902,3534
4041100,4532
4041300,4752
4041400,4526
4041500,4365
4042400,2295
4042600,364
4042700,4998
4043200,1280
4043400,1717
4043701,3683
4043702,6998
4043900,4931
4044000,4783
4044301,4725
4044302,5373
4044400,4562
4044601,4013
4044602,5472
4044800,3063
4045000,2070
4045200,1209
4045400,5207
4045500,13200
4045600,1365
4045700,3536
4045800,2271
4045900,4150
4046000,6193
4046100,2903
4046200,8206
4046300,4541
4046400,1841
4046500,4276
4046600,3676
4046700,7281
4046800,4173
4046901,4346
4046902,4102
4047000,3343
4047100,4785
4047200,3861
4047300,4863
4047500,5489
4047600,1374
4047801,4065
4047802,1511
4047900,6837
4048000,2666
4048100,6321
4048200,1518
4048301,2145
4048302,2092
4048400,5569
4048500,5331
4048900,1937
4049201,2888
4049202,2018
4049301,2391
4049302,3498
4049500,1430
4049600,3251
4049700,3381
4049900,5477
4050000,4778
4050201,1678
4050202,1521
4050400,1872
4050500,1768
4050600,1635
4050700,3699
4050800,2084
4051000,1616
4051100,2494
4051200,2748
4051300,2638
4051500,3126
4051600,2069
4051700,2146
4051800,1948
4052000,1593
4052100,2197
4052200,1605
4052400,1945
4052500,2252
4052600,1958
4052800,1563
4053000,2393
4053100,3462
4053200,1886
4053401,2104
4053501,1058
4053502,0
4053601,1578
4053800,1648
4053901,3968
4053902,88
4054000,4632
4054200,5149
4054500,3648
4054700,4166
4054800,2336
4054900,4932
4055100,4574
4055200,3174
4055300,2856
4055400,2487
4055500,1935
4055600,2242
4055700,3966
4055800,1710
4055900,1178
4056000,1743
4056100,20
4056200,1460
4056400,1559
4056500,1681
4056600,1581
4056700,4751
4056800,4862
4057700,4023
4057900,1743
4058000,3589
4058100,2785
4058200,4509
4058300,3362
4058500,4128
4058700,3336
4058900,4308
4059000,1182
4059100,5226
4059200,1186
4059300,4092
4059400,1506
4059501,2091
4059502,2712
4059600,1373
4059800,1764
4059900,1594
4060000,1223
4060100,2414
4060300,1854
4060600,1328
4060701,3
4060800,1475
4061000,1204
4061200,1552
4061301,5763
4061302,0
4061400,1205
4061601,2095
4061602,1402
4061800,1736
4061900,3097
4062000,1419
4062100,3151
4062200,1979
4062300,1923
4062400,0
4062500,2625
4062600,2689
4062700,3010
4062900,3042
4063000,1602
4063200,2261
4063301,1587
4063302,1665
4063500,2784
4063700,3507
4063800,3584
4063900,2794
4064101,2378
4064102,4
4064500,2064
4064600,3025
4065000,2831
4065401,2836
4065402,5
4065501,3
4065600,5423
4065702,1775
4065703,2829
4065900,1850
4066000,3511
4066100,1573
4066301,2713
4066302,4
4066401,1923
4066402,3942
4066403,4480
4066404,0
4066501,3538
4066701,2789
4066900,1790
4067100,2248
4067700,1832
4067900,4397
4068000,5220
4068200,1262
4068300,4052
4068700,4597
4069000,3787
4069300,2887
4069400,3604
4069500,2451
4069701,4435
4069702,3929
4070300,2225
4070700,2426
4070900,2635
4071100,5687
4071303,5307
4071304,6386
4071305,5126
4071306,6181
4071600,2
4071701,5557
4071702,4660
4071900,2887
4072100,5040
4072300,2158
4072900,1490
4073100,1550
4073700,2277
4073900,5548
4074100,3164
4074300,4433
4074500,3659
4074700,3539
4074900,1563
4075701,5110
4075702,5071
4076901,4274
